simulation,OKC,LAL,PHX,UTA,MIL,POR,MEM,CHI,ATL,ORL,BOS,CHO,DAL,NYK,IND,GSW,SAC,LAC,HOU,BRK,TOR,NOP,DEN,PHI,SAS,DET,CLE,MIA,WAS,MIN
31,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
32,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
33,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
34,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
35,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
36,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
37,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
38,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
39,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
40,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
41,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
42,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
43,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
44,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
45,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
46,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
47,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
48,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
49,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
50,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
51,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
52,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
53,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
54,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
55,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
56,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
57,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
58,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
59,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
60,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
61,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
62,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
63,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
64,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
65,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
66,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
67,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
68,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
69,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
70,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
71,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
72,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
73,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
74,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
75,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
76,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
77,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
78,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
79,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
80,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
81,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
82,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
83,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
84,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
85,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
86,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
87,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
88,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
89,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
90,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
91,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
92,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
93,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
94,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
95,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
96,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
97,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
98,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
99,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
100,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
101,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
102,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
103,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
104,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
105,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
106,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
107,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
108,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
109,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
110,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
111,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
112,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
113,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
114,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
115,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
116,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
117,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
118,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
119,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
120,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
121,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
122,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
123,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
124,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
125,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
126,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
127,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
128,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
129,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
130,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
131,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
132,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
133,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
134,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
135,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
136,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
137,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
138,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
139,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
140,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
141,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
142,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
143,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
144,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
145,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
146,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
147,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
148,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
149,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
150,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
151,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
152,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
153,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
154,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
155,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
156,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
157,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
158,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
159,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
160,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
161,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
162,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
163,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
164,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
165,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
166,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
167,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
168,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
169,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
170,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
171,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
172,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
173,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
174,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
175,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
176,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
177,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
178,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
179,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
180,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
181,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
182,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
183,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
184,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
185,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
186,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
187,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
188,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
189,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
190,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
191,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
192,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
193,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
194,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
195,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
196,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
197,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
198,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
199,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
200,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
201,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
202,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
203,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
204,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
205,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
206,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
207,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
208,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
209,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
210,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
211,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
212,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
213,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
214,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
215,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
216,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
217,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
218,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
219,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
220,64,53,45,22,32,42,25,31,46,45,56,44,26,53,19,37,22,42,52,20,46,26,54,45,62,60,52,43,17,49
